# corpus-twin-fold-latest — Sound Arc IV r11 · stamp 20260727.232702
# Law: latest-wins across T1–T7 shelves; columns: witness\tverdict\tvia_shelf\trest…
# Not a fresh twin run — a fold of measured shelves for the saga pane.
glow_lower_call_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_calln_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_cast_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_cell_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_compose2_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_compose_core_add_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_compose_core_payload_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_compose_core_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_compose_jam_cue_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_compose_lib_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_compose_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_conditional_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_core_lib_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_core_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_face_lit_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_face_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_list_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_multi_typed_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_multi_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_mutate_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_named_cast_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_null_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_quad_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_shape_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_switch_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_trap_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_lower_triple_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_mobile_target_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	1	1
glow_nest_type_surface_witness.rish	SLOW-BOTH	20260726-132520_corpus-twin-verdicts.tsv	124	124
glow_nest_type_witness.rish	SLOW-BOTH	20260726-132520_corpus-twin-verdicts.tsv	124	124
glow_network_grant_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_repl_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_riscv_target_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	1	1
glow_run.rish	TWIN	20260727-093903_corpus-twin-verdicts-7.tsv	0	0	glow/gen/bound-tick.glow
glow_run_desk_witness.rish	SLOW-BOTH	20260726-132520_corpus-twin-verdicts.tsv	124	124
glow_rune_alphabet_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_rune_call2_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_rune_call3_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
glow_rune_call_witness.rish	TWIN	20260726-132520_corpus-twin-verdicts.tsv	0	0
